Most common APIs used by Spyware and their associated Objectives:
ntdll.NtWriteVirtualMemory: 4 (Objectives: Privilege Escalation, Defense Evasion)
kernel32.WriteProcessMemory: 4 (Objectives: Privilege Escalation, Defense Evasion)
ReadProcessMemory: 4 (Objectives: Privilege Escalation, Defense Evasion)
ZwFreeVirtualMemory: 4 (Objectives: Privilege Escalation, Defense Evasion)
PostMessage: 4 (Objectives: Privilege Escalation, Defense Evasion)
SendNotifyMessage: 4 (Objectives: Privilege Escalation, Defense Evasion)
ntdll.ZwWriteVirtualMemory: 4 (Objectives: Privilege Escalation, Defense Evasion)
NtWow64WriteVirtualMemory64: 4 (Objectives: Privilege Escalation, Defense Evasion)
GetProcAddress: 4 (Objectives: Privilege Escalation, Defense Evasion)
user32.SetProp: 4 (Objectives: Privilege Escalation, Defense Evasion)
MapViewOfFile: 4 (Objectives: Privilege Escalation, Defense Evasion)
ntoskrnl.KeStackAttachProcess: 4 (Objectives: Privilege Escalation, Defense Evasion)
MapViewOfFileNuma2: 4 (Objectives: Privilege Escalation, Defense Evasion)
CreateFileMapping: 4 (Objectives: Privilege Escalation, Defense Evasion)
ntoskrnl.KeUnstackDetachProcess: 4 (Objectives: Privilege Escalation, Defense Evasion)
