
-----------------------------------
Cluster 1:
  - Hash: b8ebe5e063f15862850b7d5ceb2a5d2b14d899b36b98f7aff2d54873e4ba28b3, Malware Name: Maze
  - Hash: 311baa4d4229a8d6802d82a8d9935592bf9a7b6aaf0949f0fa0b094592f5e8a7, Malware Name: Maze
  - Hash: a201cfc29ea98a499a42ce0def43a1a2394ee980651791d3b46ff258fc03c151, Malware Name: Maze
  - Hash: a0a42285a7368d5ad0f6938e308bacd1cea2f0a4245ffefe9c6df695a3f78e9c, Malware Name: Maze
  - Hash: ee06c557f1acd5c4948b1df0413e49f3885f8ac96185a9d986b91a1231444541, Malware Name: Egregor
  - Hash: 967422de1acc14deb7e7ce803d86aff44e2652bfcd550e3a34c2e37abc883dee, Malware Name: Egregor
  - Hash: c1c4e677b36a2ee6ae858546e727e73cc38c95c9024c724f939178b3c03de906, Malware Name: Egregor
  - Hash: 319ec80eae65c1d39df27c80b52fe7fe1fadc6e9ceabf72f57d1b29e0467ac02, Malware Name: Egregor
  - Hash: 6675c204844476dd8ce59ead0eac082754ded599036551526a8e2c509a1407e4, Malware Name: Egregor
  - Hash: 3e5a6834cf6192a987ca9b0b4c8cb9202660e399ebe387af8c7407b12ae2da63, Malware Name: Egregor
  - Hash: 6ad7b3e0873c9ff122c32006fdc3675706a03c4778287085a020d839b74cd780, Malware Name: Egregor
  - Hash: 3fd510a3b2e0b0802d57cd5b1cac1e61797d50a08b87d9b5243becd9e2f7073f, Malware Name: Egregor
  - Hash: 004a2dc3ec7b98fa7fe6ae9c23a8b051ec30bcfcd2bc387c440c07ff5180fe9a, Malware Name: Egregor
  - Hash: 6a441734b34cdee31a01164140b0c88966fbb4358dcb63a14ae6824f09e9476f, Malware Name: Egregor
  - Hash: a9d483c0f021b72a94324562068d8164f8cce0aa8f779faea304669390775436, Malware Name: Egregor
  - Hash: aee131ba1bfc4b6fa1961a7336e43d667086ebd2c7ff81029e14b2bf47d9f3a7, Malware Name: Egregor
