Course of Action: User Account Management, Influence: 23
Course of Action: Restrict File and Directory Permissions, Influence: 21
Course of Action: Network Segmentation, Influence: 19
Course of Action: Data Loss Prevention, Influence: 18
Course of Action: Restrict Registry Permissions, Influence: 17
Course of Action: User Training, Influence: 15
Course of Action: Network Intrusion Prevention, Influence: 15
Course of Action: Privileged Account Management, Influence: 12
Course of Action: Behavior Prevention on Endpoint, Influence: 10
Course of Action: Encrypt Sensitive Information, Influence: 9
Course of Action: Operating System Configuration, Influence: 9
Course of Action: Execution Prevention, Influence: 9
Course of Action: Filter Network Traffic, Influence: 9
Course of Action: Data Backup, Influence: 8
Course of Action: Disable or Remove Feature or Program, Influence: 5
Course of Action: Password Policies, Influence: 4
Course of Action: Multi-factor Authentication, Influence: 4
Course of Action: Software Configuration, Influence: 2
Course of Action: Antivirus/Antimalware, Influence: 2
Course of Action: Code Signing, Influence: 2
Course of Action: Account Use Policies, Influence: 2
Course of Action: Limit Access to Resource Over Network, Influence: 2
Course of Action: Update Software, Influence: 1
Course of Action: Active Directory Configuration, Influence: 1
Course of Action: Credential Access Protection, Influence: 1
Course of Action: Privileged Process Integrity, Influence: 1
Course of Action: Application Isolation and Sandboxing, Influence: 1
Course of Action: Application Developer Guidance, Influence: 1
Course of Action: Audit, Influence: 1
Course of Action: SSL/TLS Inspection, Influence: 1
