Course of Action: Data Loss Prevention, Influence: 27
Course of Action: User Training, Influence: 18
Course of Action: Restrict File and Directory Permissions, Influence: 17
Course of Action: Encrypt Sensitive Information, Influence: 13
Course of Action: Behavior Prevention on Endpoint, Influence: 9
Course of Action: Privileged Account Management, Influence: 8
Course of Action: Execution Prevention, Influence: 8
Course of Action: Network Intrusion Prevention, Influence: 6
Course of Action: User Account Management, Influence: 6
Course of Action: Antivirus/Antimalware, Influence: 5
Course of Action: Update Software, Influence: 4
Course of Action: Restrict Registry Permissions, Influence: 4
Course of Action: Operating System Configuration, Influence: 4
Course of Action: Audit, Influence: 3
Course of Action: Network Segmentation, Influence: 3
Course of Action: Code Signing, Influence: 3
Course of Action: Application Developer Guidance, Influence: 3
Course of Action: Disable or Remove Feature or Program, Influence: 3
Course of Action: Boot Integrity, Influence: 2
Course of Action: Vulnerability Scanning, Influence: 2
Course of Action: Exploit Protection, Influence: 2
Course of Action: Filter Network Traffic, Influence: 2
Course of Action: Limit Hardware Installation, Influence: 2
Course of Action: Limit Software Installation, Influence: 1
Course of Action: Data Backup, Influence: 1
Course of Action: SSL/TLS Inspection, Influence: 1
Course of Action: Password Policies, Influence: 1
