Course of Action: User Account Management, Influence: 15
Course of Action: Restrict File and Directory Permissions, Influence: 14
Course of Action: Execution Prevention, Influence: 10
Course of Action: Network Segmentation, Influence: 10
Course of Action: Data Backup, Influence: 9
Course of Action: Behavior Prevention on Endpoint, Influence: 8
Course of Action: Operating System Configuration, Influence: 8
Course of Action: Restrict Registry Permissions, Influence: 8
Course of Action: Data Loss Prevention, Influence: 7
Course of Action: Disable or Remove Feature or Program, Influence: 7
Course of Action: Privileged Account Management, Influence: 6
Course of Action: Code Signing, Influence: 5
Course of Action: User Training, Influence: 4
Course of Action: Encrypt Sensitive Information, Influence: 4
Course of Action: Network Intrusion Prevention, Influence: 4
Course of Action: Limit Hardware Installation, Influence: 4
Course of Action: Audit, Influence: 3
Course of Action: Filter Network Traffic, Influence: 2
Course of Action: Software Configuration, Influence: 2
Course of Action: Application Isolation and Sandboxing, Influence: 1
Course of Action: Application Developer Guidance, Influence: 1
Course of Action: Password Policies, Influence: 1
Course of Action: Antivirus/Antimalware, Influence: 1
