Data Component: Process Creation, Influence: 341
Data Component: Command Execution, Influence: 317
Data Component: OS API Execution, Influence: 240
Data Component: File Modification, Influence: 101
Data Component: Windows Registry Key Modification, Influence: 95
Data Component: Service Metadata, Influence: 86
Data Component: Script Execution, Influence: 62
Data Component: Network Traffic Flow, Influence: 58
Data Component: File Access, Influence: 52
Data Component: Network Connection Creation, Influence: 48
Data Component: Network Traffic Content, Influence: 48
Data Component: Process Termination, Influence: 46
Data Component: File Metadata, Influence: 33
Data Component: Process Metadata, Influence: 32
Data Component: File Deletion, Influence: 31
Data Component: Cloud Storage Deletion, Influence: 28
Data Component: Snapshot Deletion, Influence: 28
Data Component: Process Access, Influence: 25
Data Component: Service Creation, Influence: 20
Data Component: Windows Registry Key Creation, Influence: 19
Data Component: WMI Creation, Influence: 19
Data Component: Scheduled Job Modification, Influence: 19
Data Component: Windows Registry Key Access, Influence: 19
Data Component: Application Log Content, Influence: 18
Data Component: Windows Registry Key Deletion, Influence: 17
Data Component: Module Load, Influence: 15
Data Component: File Creation, Influence: 13
Data Component: Active Directory Object Access, Influence: 12
Data Component: Host Status, Influence: 10
Data Component: Process Modification, Influence: 10
Data Component: Scheduled Job Creation, Influence: 9
Data Component: Service Modification, Influence: 9
Data Component: Scheduled Job Metadata, Influence: 9
Data Component: Image Metadata, Influence: 9
Data Component: Active Directory Object Modification, Influence: 9
Data Component: User Account Metadata, Influence: 5
Data Component: User Account Modification, Influence: 4
Data Component: User Account Authentication, Influence: 4
Data Component: Cloud Service Enumeration, Influence: 4
Data Component: User Account Deletion, Influence: 3
Data Component: Firmware Modification, Influence: 2
Data Component: Logon Session Creation, Influence: 2
Data Component: Group Modification, Influence: 2
Data Component: Drive Creation, Influence: 2
Data Component: Network Share Access, Influence: 2
Data Component: Group Enumeration, Influence: 1
Data Component: Group Metadata, Influence: 1
Data Component: Firewall Rule Modification, Influence: 1
Data Component: Response Content, Influence: 1
Data Component: Response Metadata, Influence: 1
Data Component: Domain Registration, Influence: 1
