Data Component: Command Execution, Influence: 146
Data Component: OS API Execution, Influence: 139
Data Component: Process Creation, Influence: 132
Data Component: Script Execution, Influence: 58
Data Component: File Access, Influence: 46
Data Component: File Modification, Influence: 20
Data Component: Network Traffic Flow, Influence: 19
Data Component: Network Traffic Content, Influence: 15
Data Component: Process Access, Influence: 12
Data Component: Windows Registry Key Modification, Influence: 12
Data Component: Windows Registry Key Creation, Influence: 11
Data Component: File Metadata, Influence: 10
Data Component: Network Connection Creation, Influence: 9
Data Component: Windows Registry Key Access, Influence: 8
Data Component: Module Load, Influence: 8
Data Component: Process Modification, Influence: 7
Data Component: Process Metadata, Influence: 7
Data Component: Windows Registry Key Deletion, Influence: 7
Data Component: File Creation, Influence: 6
Data Component: Host Status, Influence: 5
Data Component: Logon Session Creation, Influence: 3
Data Component: Active Directory Object Access, Influence: 3
Data Component: WMI Creation, Influence: 3
Data Component: Scheduled Job Modification, Influence: 2
Data Component: Service Creation, Influence: 2
Data Component: Service Metadata, Influence: 2
Data Component: Application Log Content, Influence: 2
Data Component: Driver Load, Influence: 2
Data Component: Network Share Access, Influence: 2
Data Component: Cloud Service Enumeration, Influence: 2
Data Component: Drive Creation, Influence: 2
Data Component: Firmware Modification, Influence: 1
Data Component: Scheduled Job Creation, Influence: 1
Data Component: Service Modification, Influence: 1
Data Component: Scheduled Job Metadata, Influence: 1
Data Component: Image Metadata, Influence: 1
Data Component: Group Enumeration, Influence: 1
Data Component: Group Metadata, Influence: 1
Data Component: Kernel Module Load, Influence: 1
Data Component: File Deletion, Influence: 1
Data Component: Cloud Storage Deletion, Influence: 1
Data Component: Snapshot Deletion, Influence: 1
Data Component: Cloud Storage Access, Influence: 1
