Data Component: Command Execution, Influence: 54
Data Component: Process Creation, Influence: 49
Data Component: OS API Execution, Influence: 30
Data Component: File Modification, Influence: 22
Data Component: Windows Registry Key Modification, Influence: 18
Data Component: File Deletion, Influence: 12
Data Component: Service Metadata, Influence: 11
Data Component: Network Traffic Flow, Influence: 10
Data Component: Network Traffic Content, Influence: 9
Data Component: Snapshot Deletion, Influence: 8
Data Component: Cloud Storage Deletion, Influence: 8
Data Component: Network Connection Creation, Influence: 7
Data Component: Windows Registry Key Creation, Influence: 6
Data Component: Process Termination, Influence: 6
Data Component: Module Load, Influence: 6
Data Component: Host Status, Influence: 5
Data Component: Application Log Content, Influence: 5
Data Component: WMI Creation, Influence: 4
Data Component: Script Execution, Influence: 4
Data Component: Volume Deletion, Influence: 4
Data Component: Image Deletion, Influence: 4
Data Component: Instance Deletion, Influence: 4
Data Component: File Access, Influence: 3
Data Component: Process Access, Influence: 3
Data Component: Cloud Service Enumeration, Influence: 2
Data Component: Active Directory Object Access, Influence: 2
Data Component: Windows Registry Key Access, Influence: 2
Data Component: Windows Registry Key Deletion, Influence: 2
Data Component: Process Metadata, Influence: 2
Data Component: Scheduled Job Modification, Influence: 2
Data Component: Service Creation, Influence: 2
Data Component: File Metadata, Influence: 2
Data Component: User Account Metadata, Influence: 1
Data Component: Service Modification, Influence: 1
Data Component: Scheduled Job Metadata, Influence: 1
Data Component: Scheduled Job Creation, Influence: 1
Data Component: Image Metadata, Influence: 1
