Intrusion Set: Wizard Spider, Influence: 194
Intrusion Set: Lazarus Group, Influence: 176
Intrusion Set: APT41, Influence: 163
Intrusion Set: APT32, Influence: 162
Intrusion Set: Turla, Influence: 149
Intrusion Set: OilRig, Influence: 146
Intrusion Set: Chimera, Influence: 146
Intrusion Set: FIN13, Influence: 141
Intrusion Set: Magic Hound, Influence: 135
Intrusion Set: Kimsuky, Influence: 122
Intrusion Set: Threat Group-3390, Influence: 121
Intrusion Set: Sandworm Team, Influence: 118
Intrusion Set: Windshift, Influence: 117
Intrusion Set: Earth Lusca, Influence: 116
Intrusion Set: Akira, Influence: 116
Intrusion Set: Gelsemium, Influence: 116
Intrusion Set: Gamaredon Group, Influence: 116
Intrusion Set: Ke3chang, Influence: 115
Intrusion Set: Tropic Trooper, Influence: 114
Intrusion Set: Dragonfly, Influence: 111
Intrusion Set: MuddyWater, Influence: 110
Intrusion Set: Volt Typhoon, Influence: 108
Intrusion Set: APT38, Influence: 108
Intrusion Set: ZIRCONIUM, Influence: 105
Intrusion Set: TeamTNT, Influence: 104
Intrusion Set: APT19, Influence: 101
Intrusion Set: Machete, Influence: 99
Intrusion Set: APT3, Influence: 96
Intrusion Set: RTM, Influence: 95
Intrusion Set: menuPass, Influence: 92
Intrusion Set: Stealth Falcon, Influence: 92
Intrusion Set: FIN8, Influence: 91
Intrusion Set: APT39, Influence: 89
Intrusion Set: Darkhotel, Influence: 88
Intrusion Set: Taidoor, Influence: 81
Intrusion Set: HEXANE, Influence: 80
Intrusion Set: Mustang Panda, Influence: 78
Intrusion Set: ToddyCat, Influence: 77
Intrusion Set: Higaisa, Influence: 77
Intrusion Set: Patchwork, Influence: 77
Intrusion Set: APT37, Influence: 75
Intrusion Set: Blue Mockingbird, Influence: 72
Intrusion Set: GALLIUM, Influence: 71
Intrusion Set: Sidewinder, Influence: 71
Intrusion Set: BRONZE BUTLER, Influence: 69
Intrusion Set: Rocke, Influence: 68
Intrusion Set: admin@338, Influence: 64
Intrusion Set: TA2541, Influence: 61
Intrusion Set: Indrik Spider, Influence: 58
Intrusion Set: APT1, Influence: 58
Intrusion Set: Sowbug, Influence: 54
Intrusion Set: Malteiro, Influence: 53
Intrusion Set: HAFNIUM, Influence: 53
Intrusion Set: APT28, Influence: 52
Intrusion Set: SideCopy, Influence: 52
Intrusion Set: FIN6, Influence: 50
Intrusion Set: Naikon, Influence: 49
Intrusion Set: Moses Staff, Influence: 48
Intrusion Set: Leviathan, Influence: 47
Intrusion Set: Windigo, Influence: 44
Intrusion Set: LuminousMoth, Influence: 43
Intrusion Set: FIN7, Influence: 43
Intrusion Set: Cinnamon Tempest, Influence: 42
Intrusion Set: Inception, Influence: 42
Intrusion Set: Aquatic Panda, Influence: 39
Intrusion Set: Gorgon Group, Influence: 38
Intrusion Set: TA505, Influence: 38
Intrusion Set: Confucius, Influence: 35
Intrusion Set: APT18, Influence: 35
Intrusion Set: Silence, Influence: 35
Intrusion Set: Mustard Tempest, Influence: 34
Intrusion Set: LAPSUS$, Influence: 33
Intrusion Set: Fox Kitten, Influence: 32
Intrusion Set: APT29, Influence: 30
Intrusion Set: Deep Panda, Influence: 27
Intrusion Set: DarkVishnya, Influence: 25
Intrusion Set: PLATINUM, Influence: 24
Intrusion Set: Molerats, Influence: 22
Intrusion Set: APT5, Influence: 21
Intrusion Set: Tonto Team, Influence: 20
Intrusion Set: WIRTE, Influence: 20
Intrusion Set: BackdoorDiplomacy, Influence: 18
Intrusion Set: Ember Bear, Influence: 18
Intrusion Set: Leafminer, Influence: 18
Intrusion Set: APT-C-23, Influence: 17
Intrusion Set: Andariel, Influence: 16
Intrusion Set: Dark Caracal, Influence: 15
Intrusion Set: Poseidon Group, Influence: 14
Intrusion Set: Scattered Spider, Influence: 14
Intrusion Set: FIN10, Influence: 14
Intrusion Set: Cobalt Group, Influence: 14
Intrusion Set: FIN5, Influence: 11
Intrusion Set: LazyScripter, Influence: 11
Intrusion Set: Axiom, Influence: 10
Intrusion Set: Carbanak, Influence: 10
Intrusion Set: TA551, Influence: 9
Intrusion Set: Nomadic Octopus, Influence: 9
Intrusion Set: The White Company, Influence: 8
Intrusion Set: CURIUM, Influence: 7
Intrusion Set: PROMETHIUM, Influence: 5
Intrusion Set: BITTER, Influence: 5
Intrusion Set: APT33, Influence: 4
Intrusion Set: Aoqin Dragon, Influence: 4
Intrusion Set: Elderwood, Influence: 4
Intrusion Set: TEMP.Veles, Influence: 4
Intrusion Set: Equation, Influence: 4
Intrusion Set: Metador, Influence: 4
Intrusion Set: Transparent Tribe, Influence: 4
Intrusion Set: Evilnum, Influence: 3
Intrusion Set: Suckfly, Influence: 3
Intrusion Set: BlackTech, Influence: 3
Intrusion Set: Putter Panda, Influence: 2
Intrusion Set: MoustachedBouncer, Influence: 2
Intrusion Set: Winnti Group, Influence: 2
Intrusion Set: CopyKittens, Influence: 1
Intrusion Set: POLONIUM, Influence: 1
Intrusion Set: APT-C-36, Influence: 1
Intrusion Set: Gallmaker, Influence: 1
Intrusion Set: BlackOasis, Influence: 1
Intrusion Set: SilverTerrier, Influence: 1
