Intrusion Set: Chimera, Influence: 146
Intrusion Set: Earth Lusca, Influence: 116
Intrusion Set: Ke3chang, Influence: 115
Intrusion Set: Volt Typhoon, Influence: 108
Intrusion Set: ZIRCONIUM, Influence: 105
Intrusion Set: APT19, Influence: 101
Intrusion Set: APT3, Influence: 96
Intrusion Set: Mustang Panda, Influence: 78
Intrusion Set: Higaisa, Influence: 77
Intrusion Set: APT37, Influence: 75
Intrusion Set: Sidewinder, Influence: 71
Intrusion Set: admin@338, Influence: 64
Intrusion Set: HAFNIUM, Influence: 53
Intrusion Set: Cinnamon Tempest, Influence: 42
Intrusion Set: Aquatic Panda, Influence: 39
Intrusion Set: Deep Panda, Influence: 27
Intrusion Set: APT5, Influence: 21
Intrusion Set: Tonto Team, Influence: 20
Intrusion Set: BITTER, Influence: 5
Intrusion Set: Suckfly, Influence: 3
