Intrusion Set: Wizard Spider, Influence: 194
Intrusion Set: Turla, Influence: 149
Intrusion Set: Kimsuky, Influence: 122
Intrusion Set: Sandworm Team, Influence: 118
Intrusion Set: Gamaredon Group, Influence: 116
Intrusion Set: Dragonfly, Influence: 111
Intrusion Set: Machete, Influence: 99
Intrusion Set: RTM, Influence: 95
Intrusion Set: Higaisa, Influence: 77
Intrusion Set: APT37, Influence: 75
Intrusion Set: GALLIUM, Influence: 71
Intrusion Set: Indrik Spider, Influence: 58
Intrusion Set: APT28, Influence: 52
Intrusion Set: Inception, Influence: 42
Intrusion Set: Gorgon Group, Influence: 38
Intrusion Set: Silence, Influence: 35
Intrusion Set: APT29, Influence: 30
Intrusion Set: Ember Bear, Influence: 18
Intrusion Set: FIN5, Influence: 11
Intrusion Set: Nomadic Octopus, Influence: 9
Intrusion Set: TEMP.Veles, Influence: 4
