Intrusion Set: Windshift, Influence: 110
Intrusion Set: Machete, Influence: 105
Intrusion Set: Turla, Influence: 99
Intrusion Set: APT41, Influence: 92
Intrusion Set: Lazarus Group, Influence: 88
Intrusion Set: Kimsuky, Influence: 87
Intrusion Set: Ke3chang, Influence: 79
Intrusion Set: Magic Hound, Influence: 78
Intrusion Set: FIN13, Influence: 77
Intrusion Set: Wizard Spider, Influence: 77
Intrusion Set: Volt Typhoon, Influence: 72
Intrusion Set: APT32, Influence: 72
Intrusion Set: OilRig, Influence: 72
Intrusion Set: Gamaredon Group, Influence: 72
Intrusion Set: APT3, Influence: 70
Intrusion Set: APT37, Influence: 70
Intrusion Set: Gelsemium, Influence: 70
Intrusion Set: Stealth Falcon, Influence: 66
Intrusion Set: Chimera, Influence: 66
Intrusion Set: Threat Group-3390, Influence: 65
Intrusion Set: TeamTNT, Influence: 64
Intrusion Set: APT38, Influence: 64
Intrusion Set: Sandworm Team, Influence: 63
Intrusion Set: ZIRCONIUM, Influence: 62
Intrusion Set: Tropic Trooper, Influence: 62
Intrusion Set: MuddyWater, Influence: 60
Intrusion Set: APT19, Influence: 59
Intrusion Set: Taidoor, Influence: 58
Intrusion Set: Darkhotel, Influence: 57
Intrusion Set: Dragonfly, Influence: 54
Intrusion Set: Patchwork, Influence: 54
Intrusion Set: Higaisa, Influence: 53
Intrusion Set: RTM, Influence: 53
Intrusion Set: Mustang Panda, Influence: 50
Intrusion Set: HEXANE, Influence: 50
Intrusion Set: menuPass, Influence: 49
Intrusion Set: Sidewinder, Influence: 49
Intrusion Set: ToddyCat, Influence: 49
Intrusion Set: admin@338, Influence: 47
Intrusion Set: APT39, Influence: 47
Intrusion Set: Earth Lusca, Influence: 46
Intrusion Set: GALLIUM, Influence: 43
Intrusion Set: Inception, Influence: 43
Intrusion Set: Windigo, Influence: 42
Intrusion Set: APT1, Influence: 40
Intrusion Set: Moses Staff, Influence: 39
Intrusion Set: SideCopy, Influence: 39
Intrusion Set: Rocke, Influence: 38
Intrusion Set: FIN8, Influence: 38
Intrusion Set: HAFNIUM, Influence: 37
Intrusion Set: BRONZE BUTLER, Influence: 37
Intrusion Set: Blue Mockingbird, Influence: 34
Intrusion Set: APT28, Influence: 34
Intrusion Set: Malteiro, Influence: 33
Intrusion Set: TA2541, Influence: 33
Intrusion Set: Akira, Influence: 32
Intrusion Set: LuminousMoth, Influence: 31
Intrusion Set: Aquatic Panda, Influence: 27
Intrusion Set: Sowbug, Influence: 27
Intrusion Set: Confucius, Influence: 27
Intrusion Set: APT18, Influence: 27
Intrusion Set: Fox Kitten, Influence: 26
Intrusion Set: FIN7, Influence: 26
Intrusion Set: Mustard Tempest, Influence: 24
Intrusion Set: FIN6, Influence: 24
Intrusion Set: Naikon, Influence: 21
Intrusion Set: APT29, Influence: 21
Intrusion Set: Andariel, Influence: 20
Intrusion Set: Dark Caracal, Influence: 20
Intrusion Set: Gorgon Group, Influence: 17
Intrusion Set: TA505, Influence: 17
Intrusion Set: LAPSUS$, Influence: 17
Intrusion Set: Axiom, Influence: 16
Intrusion Set: CURIUM, Influence: 16
Intrusion Set: APT-C-23, Influence: 15
Intrusion Set: Silence, Influence: 14
Intrusion Set: Cinnamon Tempest, Influence: 13
Intrusion Set: Leviathan, Influence: 12
Intrusion Set: Molerats, Influence: 10
Intrusion Set: BackdoorDiplomacy, Influence: 10
Intrusion Set: APT5, Influence: 9
Intrusion Set: Ember Bear, Influence: 9
Intrusion Set: Carbanak, Influence: 8
Intrusion Set: WIRTE, Influence: 8
Intrusion Set: Cobalt Group, Influence: 7
Intrusion Set: Poseidon Group, Influence: 7
Intrusion Set: PLATINUM, Influence: 6
Intrusion Set: Indrik Spider, Influence: 6
Intrusion Set: FIN10, Influence: 5
Intrusion Set: The White Company, Influence: 4
Intrusion Set: Leafminer, Influence: 4
Intrusion Set: Scattered Spider, Influence: 4
Intrusion Set: APT33, Influence: 3
Intrusion Set: LazyScripter, Influence: 3
Intrusion Set: DarkVishnya, Influence: 3
Intrusion Set: Aoqin Dragon, Influence: 3
Intrusion Set: Deep Panda, Influence: 3
Intrusion Set: Equation, Influence: 3
Intrusion Set: PROMETHIUM, Influence: 2
Intrusion Set: Putter Panda, Influence: 2
Intrusion Set: Tonto Team, Influence: 2
Intrusion Set: MoustachedBouncer, Influence: 2
Intrusion Set: Evilnum, Influence: 2
Intrusion Set: Elderwood, Influence: 1
Intrusion Set: TA551, Influence: 1
Intrusion Set: Nomadic Octopus, Influence: 1
Intrusion Set: FIN5, Influence: 1
Intrusion Set: Winnti Group, Influence: 1
Intrusion Set: TEMP.Veles, Influence: 1
Intrusion Set: BITTER, Influence: 1
Intrusion Set: Metador, Influence: 1
Intrusion Set: Suckfly, Influence: 1
Intrusion Set: BlackTech, Influence: 1
Intrusion Set: APT-C-36, Influence: 1
Intrusion Set: Gallmaker, Influence: 1
Intrusion Set: BlackOasis, Influence: 1
Intrusion Set: CopyKittens, Influence: 1
Intrusion Set: POLONIUM, Influence: 1
