Intrusion Set: Machete, Influence: 105
Intrusion Set: Turla, Influence: 99
Intrusion Set: Kimsuky, Influence: 87
Intrusion Set: Wizard Spider, Influence: 77
Intrusion Set: Gamaredon Group, Influence: 72
Intrusion Set: APT37, Influence: 70
Intrusion Set: Sandworm Team, Influence: 63
Intrusion Set: Dragonfly, Influence: 54
Intrusion Set: Higaisa, Influence: 53
Intrusion Set: RTM, Influence: 53
Intrusion Set: GALLIUM, Influence: 43
Intrusion Set: Inception, Influence: 43
Intrusion Set: APT28, Influence: 34
Intrusion Set: APT29, Influence: 21
Intrusion Set: Gorgon Group, Influence: 17
Intrusion Set: Silence, Influence: 14
Intrusion Set: Ember Bear, Influence: 9
Intrusion Set: Indrik Spider, Influence: 6
Intrusion Set: Nomadic Octopus, Influence: 1
Intrusion Set: FIN5, Influence: 1
Intrusion Set: TEMP.Veles, Influence: 1
